_id,district,street,building,name,seats,enterpreneur_name,enterpreneur_name_2,area,code_phone_number,phone_number_1,phone_number_2,cellphone_number_1,cellphone_number_2,hours_of_work_monday,hours_of_work_tuesday',hours_of_work_wednesday',hours_of_work_thursday,hours_of_work_friday,hours_of_work_saturday,hours_of_work_sunday
105,Франківський,Васильківського С.,7.0,"паб ""Гудз""",20.0,"ТзОВ ""Гудз""",NULL,25.0,032,2374592.0,NULL,0676735804,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
106,Галицький,"Катедральна, пл.",7,"кафе ""Під золотою зіркою""",45.0,"ДП ""Албіс Компані ТзОВ"" Діаніум Трейдінг Ко.Лімітед""",NULL,NULL,NULL,NULL,NULL,0676740624,NULL,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,вихідний,вихідний
107,Шевченківський,Липи Ю.,20,"""кафе-бар ""Ліана""",30.0,"ПП ""Ліана і К""",NULL,38.0,NULL,NULL,NULL,0676740624,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
108,Шевченківський,"Чорновола В.,просп.",59,"""Ресторан ""Багратіоні""",85.0,"ТзОВ ""Славія-2000""",NULL,420.0,032,2408888.0,NULL,0676740888,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
109,Галицький,Михальчука І.,NULL,Смаколик,NULL,Федечко Н.Є.,NULL,NULL,NULL,NULL,NULL,0676742066,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
110,Залізничний,Садова,2А,NULL,45.0,Морозова Тетяна Іванівна,NULL,150.0,NULL,NULL,NULL,0676742599,NULL,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00,11:00-24:00
111,Личаківський,Зелена,6,"Бар ""Живе пиво""",40.0,СПД ФО Процюк Владислав Парфентійович,NULL,98,NULL,NULL,NULL,067674288                ,NULL,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,вихідний,вихідний
112,Личаківський,Пасічна,22,бар,16.0,ФОП Голубінка З.,NULL,40.2,NULL,NULL,NULL,0676744388,NULL,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,10:00-21:00,вихідний,вихідний
113,Сихівський,"Червоної Калини, просп. ",64,бар Beer House,21.0,Коцюбинський А.І.,NULL,100.0,NULL,NULL,NULL,0676749461,NULL,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30,11:00-23:30,NULL,NULL
114,Галицький,Маланюка Є.,1,Шопен,NULL,"ТзОВ ""Кристал ЛВ""",NULL,NULL,NULL,NULL,NULL,0676749585,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
115,Галицький,Митрополита Андрея,8,Єреван,NULL,ПП Бісквіт плюс,NULL,NULL,NULL,NULL,NULL,0676749585,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
116,Галицький,"Маланюка Є., пл.",7,"ресторан ""Шопен""",80.0,ПП Смірнов О.І.,NULL,NULL,NULL,NULL,NULL,0676749585,NULL,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,07:30-22:30,вихідний,вихідний
117,Залізничний,Залізнична,2,"""Смачні сезони""",90.0,Совач Олена Вікторівна,NULL,230.0,NULL,NULL,NULL,0676752832,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
118,Галицький,"Ринок, пл.",29/19,"кафе ""кавярня ""На бамбетлі""",NULL,ПП Левицький А.І.,NULL,NULL,NULL,NULL,NULL,0676754447,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
119,Франківський,Наукова,59-61,"кафе ""Спокуса""",50.0,"ПП ""Спокуса""",NULL,80.0,032,2645950.0,NULL,067676027,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
120,Шевченківський,Хмельницького Б.,225,станція варенична,38.0,"ТзОВ ""Полісервіс""",NULL,12.0,NULL,NULL,NULL,0676763073,NULL,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,09:00-20:00,вихідний,вихідний
121,Личаківський,Пекарська,2,"Кафе ""Фабрика їжі""",18.0,"ТзОВ ""Тет а тет""",NULL,27.0,NULL,NULL,NULL,0676763784,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
122,Галицький,"Свободи, просп.",25,"кафе ""Золото Полуботка""",50.0,"ТзОВ ""Торгова компанія ""Європа-контакт""",NULL,NULL,NULL,NULL,NULL,0676765376,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
123,Залізничний,Щирецька,5.0,"""Млинок""",32.0,"ТОВ ""Озерний край"" (кер. Валовий Євген Валерійович)",NULL,NULL,NULL,NULL,NULL,0676765453,NULL,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,10:00-19:00,вихідний,вихідний
124,Галицький,Франка І.,20А,"кафе"" Етюд""",NULL,Собенко Уляна Богданівна,NULL,NULL,NULL,NULL,NULL,0676791262,NULL,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,вихідний,вихідний
125,Сихівський,Мирного П.,NULL,"кафе ""Зелений клен""",44.0,Котис О.Т.,NULL,100.0,NULL,NULL,NULL,0676791350,NULL,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,10:30-21:00,NULL,NULL
126,Шевченківський,Огіркова,1,кафе-бар,40.0,"ТзОВ ""Верхній замок""",NULL,102.0,NULL,NULL,NULL,0676801377,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
127,Галицький,"Святого Теодора, пл.",12,Мартуся,60.0,ПП Шлях до надії,NULL,NULL,NULL,NULL,NULL,0676806100,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
128,Франківський,Героїв УПА,72.0,"піцерія ""Чикаго""",60.0,ФОП Шкварок Микола Ярославович,NULL,100.0,NULL,NULL,NULL,0676815056,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
129,Залізничний,Степанівни О.,40.0,"кафе ""Кают-Компанія""",120.0,Хованець Ростислав Володимирович,Михалевич Ірина Петрівна/Заблоцький Роман Петрович,500,NULL,NULL,NULL,0676957533,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
130,Галицький,"Ринок, пл.",30,Світ кави,40.0,ПП Бедрій М.Я.,NULL,NULL,NULL,NULL,NULL,0676995211,NULL,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,08:00-22:00,вихідний,вихідний
131,Галицький,"Чорновола В., просп.",2,Малевич,40.0,"ТзОВ ""Приватні австрійські інвестиції""",NULL,NULL,NULL,NULL,NULL,0677010328,NULL,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово,цілодобово
132,Галицький,Руська,16/2,"кафе ""Прем'єра Львівська""",NULL,ПП Кравець М.Л.,NULL,NULL,NULL,NULL,NULL,0677060315,NULL,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,11:00-22:00,вихідний,вихідний
133,Залізничний,Рудненська,14А,NULL,70.0,"ТзОВ ""Орявчик""",NULL,NULL,NULL,NULL,NULL,0677079440,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
134,Залізничний,Повітряна,40.0,"бар ""Старий двір""",200.0,"ТзОВ ""Олдан"" (кер. Брунець М.Б.)",NULL,NULL,NULL,NULL,NULL,0677123616,0960287083,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
135,Франківський,Городоцька,207.0,"кафе-ресторан ""Львівянка""",100.0,"ПП ""Глікерія""",NULL,250.0,032,2384227.0,NULL,0677132977,NULL,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,10:30-23:00,12:00-23:00
136,Франківський,Окружна,57А,"кафе ""На окружній""",45.0,ФОП Чунис Олександра Василівна,NULL,60.0,032,2388231.0,NULL,0677193183 ,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,вихідний,вихідний
137,Шевченківський,Промислова,50/52,кафе,12.0,ПП Майдан Т.І.,NULL,12.0,NULL,NULL,NULL,0677207591,NULL,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,вихідний,вихідний
138,Шевченківський,Промислова,50/52,кафе,40.0,"ПП ""Папай""",NULL,84.0,NULL,NULL,NULL,0677207591,NULL,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,вихідний,вихідний
139,Залізничний,Городоцька,154,"""Кафе-бар""",10.0,Жила Ярослава Богданівна,NULL,20.0,NULL,NULL,NULL,0677280582,0673147681,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00,09:00-23:00
140,Шевченківський,Хмельницького Б.,225,фаст-фуд,0.0,Глистюк Роман Петрович,NULL,25.0,NULL,NULL,NULL,0677357848,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,вихідний,вихідний
141,Шевченківський,Липинського В.,60,фаст-фуд,16.0,Глистюк Роман Петрович,NULL,16.0,NULL,NULL,NULL,0677357848,NULL,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,08:00-21:00,вихідний,вихідний
142,Шевченківський,"Мазепи І., гетьм.",12,"""Кафе-бар ""У Глинюка""",50.0,Кухар Ярослав Богданович,NULL,75.3,NULL,NULL,NULL,0677420566,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
143,Личаківський,Хмельницького Б.,200,"Кафе ""Берегиня""",32.0,СПД ФО Дмитрук Г.Я.,NULL,"176,2",NULL,NULL,NULL,0677473828,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,вихідний,вихідний
144,Шевченківський,Жовківська,57,міні-бар,16.0,Капініс Ігор Миронович,NULL,50.0,NULL,NULL,NULL,0677526870,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,вихідний,вихідний
145,Галицький,Лесі Українки,14,Монс-Піус,NULL,ТзОВ Монс-Піус,NULL,182.9,NULL,NULL,NULL,0677591457,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
146,Галицький,"Свободи, просп.",1/3,Урбан кофе,NULL,ПП Циганський О.О.,NULL,NULL,NULL,NULL,NULL,0677630903,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,вихідний,вихідний
147,Галицький,Проїзд Крива Липа,6,Арт холл,25.0,Циганський О.О.,NULL,NULL,NULL,NULL,NULL,0677630903,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
148,Франківський,Бандери С.,67.0,"кафе ""Цісар""",50.0,"ТзОВ ""Тет-а-Тет""",NULL,80.0,NULL,NULL,NULL,0677672924,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
149,Сихівський,Стрийська,57,"кафе ""Кошик""",36.0,Дольницька С.З.,NULL,40.0,NULL,NULL,NULL,0677751334,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,NULL,NULL
150,Галицький,"Ринок, пл.",29,"кафе ""Соус""",30.0,ПП Чепа О.М.,NULL,NULL,NULL,NULL,NULL,0677776100,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
151,Личаківський,Хмельницького Б.,106,"Кафе ""Коліжанка""",18.0,СГД ФО Пашко Н.В.,СПД ФО Федак О.М.,70.0,NULL,NULL,NULL,0677947495 ,NULL,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,09:00-22:00,вихідний,вихідний
152,Галицький,Друкарська,6А,Тітонька Софі,30.0,ТзОВ Тітонька Софі,NULL,61.5,NULL,NULL,NULL,0677971421,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
153,Франківський,Тролейбусна,1.0,"бар ""Сангай""",20.0,ФОП Турок Леся Михайлівна,NULL,40.0,NULL,NULL,NULL,0677984941,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
154,Галицький,Шпитальна,2,біля Магнусу,NULL,"ТзОВ ""Бінп Лтд""",NULL,NULL,NULL,NULL,NULL,0677989519,NULL,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,08:00-24:00,вихідний,вихідний
155,Залізничний,Сяйво,8.0,"ресторан ""Фільварок на Левандівці""",60.0,Цимбала Орест Іванович,NULL,150.0,032,2923311.0,NULL,0678141107,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00
156,Галицький,Валова,21,"ресторан ""Підпільний Кіндрат""",45.0,"ПП ""Інтербудстандарт""",NULL,NULL,NULL,NULL,NULL,0678544448,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
157,Галицький,Грушевського В.,16,Вулик,25.0,ПП Інтербудстандарт,NULL,NULL,NULL,NULL,NULL,0678544448,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
158,Галицький,Староєврейська,6,Чураско,NULL,Бабак С.Т.,NULL,104.4,NULL,NULL,NULL,0678688684,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
159,Шевченківський,"Мазепи І., гетьм.",11,"Ресторан ""BALATON""",150.0,Петрів Ірина Петрівна,NULL,267.6,NULL,NULL,NULL,0678850129,NULL,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,11:00-23:00,вихідний,вихідний
160,Галицький,Братів Рогатинців,43,Пяна качка,20.0,Скворцов М.Е.,NULL,NULL,NULL,NULL,NULL,0678886999,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
161,Сихівський,Сихівська,12А,кафе Red Night City,60.0,Лабик Д.Р.,NULL,150.0,NULL,NULL,NULL,0678888181,NULL,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,10:00-24:00,NULL,NULL
162,Залізничний,Кульпарківська ,NULL,"""Тетяна""",20.0,Семенова О.С.,NULL,NULL,NULL,NULL,NULL,0679196740,NULL,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00
163,Галицький,"Катедральна, пл.",3,Ель - греко,NULL,"ТзОВ ""ОЛІМПОС""",NULL,NULL,NULL,NULL,NULL,0679250550,NULL,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,08:00-23:00,вихідний,вихідний
164,Галицький,Театральна,6,Старс мюзік кафе,NULL,ПП Старс мюзік кафе,NULL,NULL,NULL,NULL,NULL,0679250550,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
165,Шевченківський,Чигиринська,24,"""Сосновий двір""",40.0,Жмінка Олена Володимирівна,NULL,70.0,NULL,NULL,NULL,0679375126,NULL,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,10:00-23:00,вихідний,вихідний
166,Франківський,"Єфремова С., акад.",47.0,"паб ""паб 47""",40.0,ФОП Лавров Євген Сергійович,NULL,80.0,NULL,NULL,NULL,0679381977,0679844764,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,10:00-22:00,вихідний,вихідний
167,Сихівський,Хоткевича Г.,68,"паб ""Золотий хміль""",40.0,Матвіїв Ю.Я.,NULL,120.0,NULL,NULL,NULL,0679464299,NULL,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,11:30-24:00,NULL,NULL
168,Залізничний,Городоцька,257,"""Під кущем хмелю""",24.0,Романів Оксана Михайлівна,NULL,NULL,NULL,NULL,NULL,0679470065,NULL,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00,09:00-21:00
169,Залізничний,Городоцька,172,"""Кафе-бар""",20.0,Шеремета Ольга Ярославівна,NULL,38.0,NULL,NULL,NULL,0679481762,NULL,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,09:00-18:00,вихідний,вихідний
